OBJECTID,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
36875,GO-20249046416,THEFT UNDER - BICYCLE,2024-09-01 05:00:00,2024,September,Sunday,1,245,9,9/1/2024 5:00:00 AM,2024,September,Sunday,1,245,9,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,FOREVER JOURNEY,TO,7.0,DBL,1200.0,STOLEN,070,South Riverdale (70),070,South Riverdale (70),-79.3440734792204,43.6614909126675,-8832541.85714636,5413205.69236385
36876,GO-20249046491,THEFT UNDER,2024-09-01 05:00:00,2024,September,Sunday,1,245,15,9/1/2024 5:00:00 AM,2024,September,Sunday,1,245,19,D51,"Apartment (Rooming House, Condo)",Apartment,UK,MAX PRO,EL,35.0,BLK,1399.98999023438,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3809414494974,43.6657156048193,-8836645.98079334,5413855.79844768
36879,GO-20249046524,THEFT UNDER - BICYCLE,2024-09-02 05:00:00,2024,September,Monday,2,246,13,9/2/2024 5:00:00 AM,2024,September,Monday,2,246,13,D51,"Apartment (Rooming House, Condo)",Apartment,OT,7 PEAKS FRONTIE,OT,,BLU,800.0,STOLEN,073,Moss Park (73),073,Moss Park (73),-79.3630059578158,43.6548000939038,-8834649.41106809,5412176.18612985
36880,GO-20241923259,THEFT UNDER - BICYCLE,2024-09-01 05:00:00,2024,September,Sunday,1,245,21,9/2/2024 5:00:00 AM,2024,September,Monday,2,246,12,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,LIV,24 ALIGHT 1 S C,RG,14.0,WHI,1160.0,STOLEN,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4221411259516,43.6563876024452,-8841232.30785783,5412420.44321273
36883,GO-20249046579,THEFT UNDER - BICYCLE,2024-09-01 05:00:00,2024,September,Sunday,1,245,14,9/2/2024 5:00:00 AM,2024,September,Monday,2,246,21,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GI,,MT,21.0,BLU,800.0,STOLEN,057,Broadview North (57),057,Broadview North (57),-79.3509973180635,43.6952934011508,-8833312.61537817,5418408.58515798
36884,GO-20249046577,THEFT UNDER,2024-09-02 05:00:00,2024,September,Monday,2,246,21,9/2/2024 5:00:00 AM,2024,September,Monday,2,246,22,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,E SCOOTER,EL,30.0,BLK,800.0,STOLEN,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.2679823873059,43.7066321151512,-8824071.43553101,5420154.50148405
36886,GO-20241923259,THEFT UNDER - BICYCLE,2024-09-01 05:00:00,2024,September,Sunday,1,245,21,9/2/2024 5:00:00 AM,2024,September,Monday,2,246,12,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TREK,6000,RG,27.0,WHI,300.0,STOLEN,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4221411259516,43.6563876024452,-8841232.30785783,5412420.44321273
36887,GO-20241920525,THEFT FROM MOTOR VEHICLE OVER,2024-09-01 05:00:00,2024,September,Sunday,1,245,23,9/2/2024 5:00:00 AM,2024,September,Monday,2,246,0,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,FINDI,,RG,3.0,WHI,2000.0,STOLEN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3957000369495,43.652255791723,-8838288.89929433,5411784.72831966
36890,GO-20249046746,THEFT UNDER - BICYCLE,2024-09-03 05:00:00,2024,September,Tuesday,3,247,19,9/3/2024 5:00:00 AM,2024,September,Tuesday,3,247,19,D51,Pharmacy,Other,UK,CITIBIKE,RG,,,500.0,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3721579501152,43.6491340882377,-8835668.20615728,5411304.45602154
36891,GO-20249046747,THEFT UNDER,2024-09-02 05:00:00,2024,September,Monday,2,246,2,9/3/2024 5:00:00 AM,2024,September,Tuesday,3,247,19,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,UK,,RG,1.0,ONG,0.0,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3976305344321,43.6449446840483,-8838503.80123735,5410659.95794128
36892,GO-20249046692,THEFT UNDER - BICYCLE,2024-09-01 05:00:00,2024,September,Sunday,1,245,0,9/3/2024 5:00:00 AM,2024,September,Tuesday,3,247,16,D55,"Apartment (Rooming House, Condo)",Apartment,SU,,MT,,RED,0.0,STOLEN,062,East End-Danforth (62),062,East End-Danforth (62),-79.3015948513862,43.6876899246894,-8827813.1579078,5417237.99947339
36893,GO-20249046700,THEFT UNDER - BICYCLE,2024-09-01 05:00:00,2024,September,Sunday,1,245,0,9/3/2024 5:00:00 AM,2024,September,Tuesday,3,247,17,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SP,RIDGERUNNER SPO,RG,18.0,BLK,300.0,STOLEN,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.4979245026433,43.6395088758577,-8849668.47479606,5409823.78001046
36894,GO-20249046727,THEFT UNDER,2024-09-03 05:00:00,2024,September,Tuesday,3,247,18,9/3/2024 5:00:00 AM,2024,September,Tuesday,3,247,18,D52,Convenience Stores,Commercial,OT,PBSC,OT,20.0,,0.0,STOLEN,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3888627470576,43.6681955076369,-8837527.77565312,5414237.4333838
36895,GO-20249046691,THEFT FROM MOTOR VEHICLE UNDER,2024-09-02 05:00:00,2024,September,Monday,2,246,21,9/3/2024 5:00:00 AM,2024,September,Tuesday,3,247,16,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,UK,,SC,30.0,,500.0,STOLEN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3983260357608,43.6539415940946,-8838581.22416583,5412044.09833249
36896,GO-20249046714,THEFT UNDER - BICYCLE,2024-09-01 05:00:00,2024,September,Sunday,1,245,12,9/3/2024 5:00:00 AM,2024,September,Tuesday,3,247,17,D52,"Open Areas (Lakes, Parks, Rivers)",Outside,UK,VERZA SPEED 40,RG,28.0,GRY,979.0,STOLEN,166,St Lawrence-East Bayfront-The Islands ,077,Waterfront Communities-The Island (77),-79.3739972478135,43.6185535548795,-8835872.95587405,5406600.97856478
